href,viewpoint,gmap_location,LOCATION_URL,RQ_URL,GPS_coordinates,coder
https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=290,九份,九份老街,"https://www.google.com.tw/maps/place/%E4%B9%9D%E4%BB%BD%E8%80%81%E8%A1%97/@25.1098743,121.8403171,17z/data=!3m1!4b1!4m6!3m5!1s0x345d4517fafb9471:0x5f15825aa6a4a7d2!8m2!3d25.1098695!4d121.8451827!16s%2Fg%2F155q3rqr?entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D",https://www.google.com/maps/rpc/listugcposts?authuser=0&hl=zh-TW&gl=tw&pb=!1m6!1s0x345d4517fafb9471%3A0x5f15825aa6a4a7d2!6m4!4m1!1e1!4m1!1e3!2m2!1i10!2s!5m2!1s8aqlZ8L3JLmQvr0Pt57y2A0!7e81!8m9!2b1!3b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!11m0!13m1!1e2,"25.1098743,121.8403171",孟儒
https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=2099,九族文化村,九族文化村,"https://www.google.com.tw/maps/place/%E4%B9%9D%E6%97%8F%E6%96%87%E5%8C%96%E6%9D%91/@23.8653331,120.9456065,17z/data=!3m1!4b1!4m6!3m5!1s0x3468d68fab1ac707:0x578fc49549e644c6!8m2!3d23.8653282!4d120.9481868!16s%2Fm%2F0dr_kxd?entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D",https://www.google.com.tw/maps/rpc/listugcposts?authuser=0&hl=zh-TW&gl=tw&pb=!1m6!1s0x3468d68fab1ac707%3A0x578fc49549e644c6!6m4!4m1!1e1!4m1!1e3!2m2!1i10!2s!5m2!1sYbKuZ-mIJp6Zvr0Ptay0-AQ!7e81!8m9!2b1!3b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!11m0!13m1!1e2,"23.8653331,120.9456065",孟儒
https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=9666,臺北二二八和平公園,二二八和平公園,"https://www.google.com.tw/maps/place/%E4%BA%8C%E4%BA%8C%E5%85%AB%E5%92%8C%E5%B9%B3%E5%85%AC%E5%9C%92/@25.0415717,121.5150295,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a9751f647d29:0xebb7ed9beabb2c73!8m2!3d25.0415717!4d121.5150295!16s%2Fm%2F04g0g66?authuser=0&hl=zh-TW&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D",https://www.google.com.tw/maps/rpc/listugcposts?authuser=0&hl=zh-TW&gl=tw&pb=!1m6!1s0x3442a9751f647d29%3A0xebb7ed9beabb2c73!6m4!4m1!1e1!4m1!1e3!2m2!1i10!2s!5m2!1si8WuZ8DnFbq9vr0PpszDqQU!7e81!8m9!2b1!3b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!11m0!13m1!1e2,"25.0415717,121.5150295",孟儒
https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=2154,八卦山大佛風景區,八卦山大佛風景區,"https://www.google.com.tw/maps/place/%E5%85%AB%E5%8D%A6%E5%B1%B1%E5%A4%A7%E4%BD%9B%E9%A2%A8%E6%99%AF%E5%8D%80/@24.0784879,120.5462408,17z/data=!4m6!3m5!1s0x346938936a963bcb:0x7a4ca852c366fb95!8m2!3d24.0784879!4d120.5488211!16s%2Fg%2F155sj_9v?entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D",https://www.google.com.tw/maps/rpc/listugcposts?authuser=0&hl=zh-TW&gl=tw&pb=!1m6!1s0x346938936a963bcb%3A0x7a4ca852c366fb95!6m4!4m1!1e1!4m1!1e3!2m2!1i10!2s!5m2!1sK8uoZ4KhO-Kovr0P_aCfsAM!7e81!8m9!2b1!3b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!11m0!13m1!1e2,"24.0784879,120.5462408",孟儒
https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=A12-00202,三貂角燈塔,三貂角燈塔,"https://www.google.com.tw/maps/place/%E4%B8%89%E8%B2%82%E8%A7%92%E7%87%88%E5%A1%94/@25.0075404,121.9993442,17z/data=!3m1!4b1!4m6!3m5!1s0x345d6782806a6b99:0xef53259adbc66719!8m2!3d25.0075515!4d122.0018916!16s%2Fm%2F010qsvdj?entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D",https://www.google.com/maps/rpc/listugcposts?authuser=0&hl=zh-TW&gl=tw&pb=!1m6!1s0x345d6782806a6b99%3A0xef53259adbc66719!6m4!4m1!1e1!4m1!1e3!2m2!1i10!2s!5m2!1sMCmiZ4CvIOTH1e8P3Z_CqAI!7e81!8m9!2b1!3b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!11m0!13m1!1e2,"25.0075404,121.9993442",孟儒
https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=154,士林夜市,士林夜市,"https://www.google.com.tw/maps/place/%E5%A3%AB%E6%9E%97%E5%A4%9C%E5%B8%82/@25.0884972,121.5243504,17z/data=!3m1!4b1!4m6!3m5!1s0x3442aeb1c4fdaf05:0xe7c26dbe86e7f929!8m2!3d25.0884972!4d121.5243504!16zL20vMDZsc2Iz?authuser=0&hl=zh-TW&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D",https://www.google.com.tw/maps/rpc/listugcposts?authuser=0&hl=zh-TW&gl=tw&pb=!1m6!1s0x3442aeb1c4fdaf05%3A0xe7c26dbe86e7f929!6m4!4m1!1e1!4m1!1e3!2m2!1i10!2s!5m2!1snsWuZ43uDJSTvr0Pg6jo6As!7e81!8m9!2b1!3b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!11m0!13m1!1e2,"25.0884972,121.5243504",孟儒
https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=208,士林官邸,士林官邸正館,"https://www.google.com.tw/maps/place/%E5%A3%AB%E6%9E%97%E5%AE%98%E9%82%B8%E6%AD%A3%E9%A4%A8/@25.0930342,121.5323955,17z/data=!4m6!3m5!1s0x3442aea3c8e0979b:0xf954036a25a0f2de!8m2!3d25.0930342!4d121.5323955!16s%2Fm%2F0dlmmxz?authuser=0&hl=zh-TW&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D",https://www.google.com.tw/maps/rpc/listugcposts?authuser=0&hl=zh-TW&gl=tw&pb=!1m6!1s0x3442aea3c8e0979b%3A0xf954036a25a0f2de!6m4!4m1!1e1!4m1!1e3!2m2!1i10!2s!5m2!1sr8WuZ4uBHpa9vr0PybLEmQQ!7e81!8m9!2b1!3b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!11m0!13m1!1e2,"25.0930342,121.5323955",孟儒
https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=R20,大安森林公園,大安森林公園,"https://www.google.com.tw/maps/place/%E5%A4%A7%E5%AE%89%E6%A3%AE%E6%9E%97%E5%85%AC%E5%9C%92/@25.0296587,121.5362867,17z/data=!4m6!3m5!1s0x3442a9803a65369f:0x61fb21e8f586e51f!8m2!3d25.0296587!4d121.5362867!16s%2Fm%2F0nfw364?authuser=0&hl=zh-TW&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D",https://www.google.com.tw/maps/rpc/listugcposts?authuser=0&hl=zh-TW&gl=tw&pb=!1m6!1s0x3442a9803a65369f%3A0x61fb21e8f586e51f!6m4!4m1!1e1!4m1!1e3!2m2!1i10!2s!5m2!1susWuZ5nmIsCEvr0P843e0A8!7e81!8m9!2b1!3b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!11m0!13m1!1e2,"25.0296587,121.5362867",孟儒
https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=73,國立中正紀念堂,國立中正紀念堂,"https://www.google.com.tw/maps/place/%E5%9C%8B%E7%AB%8B%E4%B8%AD%E6%AD%A3%E7%B4%80%E5%BF%B5%E5%A0%82/@25.0355068,121.5153176,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a99db9a2a94d:0x43e9034292df69b2!8m2!3d25.035502!4d121.5201832!16zL20vMDJyZ2Nw?entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D",https://www.google.com.tw/maps/rpc/listugcposts?authuser=0&hl=zh-TW&gl=tw&pb=!1m6!1s0x3442a99db9a2a94d%3A0x43e9034292df69b2!6m4!4m1!1e1!4m1!1e3!2m2!1i10!2s!5m2!1sH6qkZ4bJAcr21e8Pou22oAQ!7e81!8m9!2b1!3b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!11m0!13m1!1e2,"25.0355068,121.5153176",孟儒
https://www.taiwan.net.tw/m1.aspx?sNo=0001016&id=A12-00002,五分埔-成衣街,五分埔商圈,"https://www.google.com.tw/maps/place/%E4%BA%94%E5%88%86%E5%9F%94%E5%95%86%E5%9C%88/@25.0467024,121.5789698,17z/data=!3m1!4b1!4m6!3m5!1s0x3442ab98bc85520b:0x5b6806889fa02f99!8m2!3d25.0467024!4d121.5789698!16s%2Fg%2F113jfvn3h?authuser=0&hl=zh-TW&entry=ttu&g_ep=EgoyMDI1MDIxMS4wIKXMDSoASAFQAw%3D%3D",https://www.google.com.tw/maps/rpc/listugcposts?authuser=0&hl=zh-TW&gl=tw&pb=!1m6!1s0x3442ab98bc85520b%3A0x5b6806889fa02f99!6m4!4m1!1e1!4m1!1e3!2m2!1i10!2s!5m2!1sycWuZ_i7G52Fvr0P07-YwAU!7e81!8m9!2b1!3b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!11m0!13m1!1e2,"25.0467024,121.5789698",孟儒
