reviewer_name,rating,review_time,content
未知,0,未知,台灣最高建築物的觀景台，從5樓搭乘時速60公里的電梯到89F ，以360度視野俯瞰台北，並可以用近距離觀賞阻尼器及上91F吹風賞景，值得久久來一次，看見台北的發展。雖然室內觀景台只有382m ，不過具有近90度的垂直視角（正下方的道路），以及清楚看到城市車流；如果額外付費的話，還可以到真正的101F 。 …
未知,0,未知,現場真的滿滿的人潮，不清楚平日是不是這樣。很幸運的是雖然天空下了小雨，但也只是風吹的時候會霧濛濛，強烈建議購買快速通關，不然真的會把時間耗費在等待上，89樓因應聖誕節有很多造景。其實主要室內都在89樓；白玉豆花跟雞蛋糕真的蠻好吃，但價格也真的高空價，套票就這兩種一起共330元。上了91樓期待值超級高、風也超級大，但只能從縫隙裡看出去有點可惜，回程需要從89樓下到88樓才能有電梯，可以先在89樓看一次阻尼器，再到88樓看一次，視角不同看起來的感覺也不同。 …
未知,0,未知,"電梯快又穩，且梯內星空氛圍非常好，加上又有多國語言介紹提醒，對外國人很友善.
室內觀景台裝飾拍照區很像在婚紗店內，個人較不喜歡."
未知,0,未知,360°無敵景觀，上來看看風景走走不錯，有很多主題造景可拍，大谷翔平50轟記念球，記得網路買票早點上來，不然會排到天荒地老。
未知,0,未知,台灣最高的觀景台、售票處設在五樓 門票 $420/人，位於88樓層有風阻尼球，這次會來因為夢想高飛特展，大谷翔平50/50的球！景觀也是非常讚！值得前來 。
未知,0,未知,傍晚時進到觀景台，搭上僅需40秒即可抵達89樓的快速電梯，窗外風景都還是清晰可見，91樓也可以在安全範圍內欣賞有限的台北市景！
未知,0,未知,"TAIPEI OBSERVATORY 508m
101世界最高秘境花園💐🌷🌹
101 「夢想高飛」特展展出 …"
未知,0,未知,上禮拜我去了台北101的觀景台，這次的經歷讓我印象深刻。台北101作為台灣最高的建築物，一直是我嚮往的地標，而站在觀景台上俯瞰整座城市的感覺，真的是難以言喻。 …
未知,0,未知,"台灣最高樓的觀景場所, 內部有最高的咖啡廳, 和台灣最高的郵局!
全票：原價$600/國人專屬票價$420元。 優待票：300元，限學生、年滿65歲者及其陪行者一人、中華民國軍警。 學齡前兒童：免費。
可以360度觀看整個台北的風景, 要先到五樓購票, 開放時間為早上10點至晚上九點!
是來台北很推薦前往的一個景點。"
未知,0,未知,元旦假日來參觀。離場要從88樓搭電梯。動線差沒有效率，離場花了22分鐘排隊。人潮太多
